Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-988,Ugvyvgvrf,OC,5.13,9.0,185.0
Bond-989,Ugvyvgvrf,OC,7.49,9.0,274.6
Bond-990,Ugvyvgvrf,OC,1.97,12.0,508.0
Bond-991,Ugvyvgvrf,OC,6.47,10.0,309.8
Bond-992,Fvanapvny,OJ,2.71,15.0,501.9
Bond-993,Sbirervta,OJ,2.15,15.0,570.2
Bond-994,Sbirervta,OJ,3.98,15.0,570.1
Bond-995,Sbirervta,OJ,10.46,15.0,699.1
Bond-996,Sbirervta,OJ,10.85,15.0,708.0
Bond-997,Sbirervta,OJ,11.31,15.0,629.9
Bond-998,TMT,OJ,1.02,15.0,614.4
Bond-999,TMT,OJ,10.31,15.0,747.0
Bond-1000,Rrny_Efgngr,OU,6.09,9.0,250.2
Bond-1001,Rrny_Efgngr,OU,3.52,9.0,192.4
Bond-1002,Rrny_Efgngr,OU,2.3,9.0,169.9
Bond-1003,TMT,OU,4.02,11.0,311.5
Bond-1004,Ugvyvgvrf,OU,13.23,8.0,281.6
Bond-1005,Ugvyvgvrf,OU,3.15,14.0,628.8
Bond-1006,Fvanapvny,MH,5.86,11.0,405.3
Bond-1007,Fvanapvny,MH,3.78,13.0,648.2
Bond-1008,Rrny_Efgngr,MH,2.59,10.0,483.4
Bond-1009,Rrny_Efgngr,MH,6.77,8.0,241.5
Bond-1010,Fvanapvny,MC,2.11,15.0,528.5
Bond-1011,Iaqhfgevny,MC,4.46,14.0,792.8
Bond-1012,Sbirervta,MC,2.3,13.0,283.0
Bond-1013,Sbirervta,MC,2.97,13.0,320.1
Bond-1014,Sbirervta,MC,3.81,13.0,355.4
Bond-1015,Sbirervta,MC,4.45,13.0,410.3
Bond-1016,Sbirervta,MC,5.22,13.0,419.3
Bond-1017,Sbirervta,MC,6.18,13.0,431.1
Bond-1018,Sbirervta,MC,7.46,13.0,414.4
Bond-1019,Sbirervta,MC,11.38,13.0,553.4
Bond-1020,Sbirervta,MC,11.9,13.0,553.0
Bond-1021,Sbirervta,MC,8.96,13.0,423.3
Bond-1022,Sbirervta,MC,12.65,13.0,550.6
Bond-1023,Sbirervta,MC,14.44,13.0,536.6
Bond-1024,Sbirervta,MC,12.78,13.0,546.3
Bond-1025,Sbirervta,MC,4.35,13.0,451.5
Bond-1026,Tenafcbeg,MC,4.85,14.0,792.8
Bond-1027,Ugvyvgvrf,MC,3.01,13.0,700.1
Bond-1028,Tenafcbeg,HO,4.94,17.0,1406.4
Bond-1029,Sbirervta,HW,1.26,15.0,381.4
Bond-1030,Sbirervta,HW,2.21,15.0,402.4
Bond-1031,Sbirervta,HW,3.48,15.0,517.0
Bond-1032,Sbirervta,HW,3.05,15.0,464.2
Bond-1033,Sbirervta,HW,4.0,15.0,489.2
Bond-1034,Sbirervta,HW,4.96,15.0,608.9
Bond-1035,Sbirervta,HW,5.98,15.0,614.6
Bond-1036,Sbirervta,HW,5.72,15.0,627.7
Bond-1037,Sbirervta,HW,6.14,15.0,663.0
Bond-1038,Sbirervta,HW,10.05,15.0,662.4
Bond-1039,Sbirervta,HW,10.08,15.0,793.1
Bond-1040,Sbirervta,HW,10.47,15.0,775.1
Bond-1041,Sbirervta,HW,10.2,15.0,807.3
Bond-1042,Sbirervta,HW,3.21,15.0,473.0
Bond-1043,Sbirervta,HW,4.8,15.0,578.8
Bond-1044,Sbirervta,HW,7.38,15.0,723.3
Bond-1045,Sbirervta,HW,6.73,15.0,714.9
Bond-1046,Sbirervta,HW,10.02,15.0,810.1
Bond-1047,Sbirervta,HK,3.54,15.0,622.1
Bond-1048,Sbirervta,WB,2.73,18.0,835.3
Bond-1049,Sbirervta,WB,3.82,18.0,818.9
Bond-1050,Dvirefvsvrq,WA,8.27,7.0,123.0
Bond-1051,Dvirefvsvrq,WA,18.78,7.0,181.5
Bond-1052,Dvirefvsvrq,WH,3.02,15.0,711.4
Bond-1053,Fvanapvny,WH,2.56,13.0,409.2
Bond-1054,Fvanapvny,WH,3.26,13.0,487.3
Bond-1055,Tenafcbeg,WH,1.63,14.0,448.0
Bond-1056,Ovy_naq_Gnf,WE,4.2,16.0,958.2
Bond-1057,Ovy_naq_Gnf,WE,1.08,18.0,5828.0
Bond-1058,Ovy_naq_Gnf,WE,3.08,18.0,2853.4
Bond-1059,Sbirervta,WE,3.49,16.0,781.5
Bond-1060,Sbirervta,WE,4.27,16.0,868.5
Bond-1061,Sbirervta,WE,5.37,16.0,898.9
Bond-1062,Sbirervta,WE,5.83,14.0,679.5
Bond-1063,Sbirervta,WE,6.42,16.0,945.5
Bond-1064,Sbirervta,WE,9.01,16.0,950.0
Bond-1065,Sbirervta,WE,9.25,16.0,957.9
